DaysToShutdown,Sensor1,InvNorm1,InvFlag1,OnOrder1
0.888888888888889,0.860769286908908,0,0,0
0.833333333333333,0.859118974030662,0,0,0
0.777777777777778,0.846378382175702,0,0,0
0.722222222222222,0.828765269293658,0,0,0
0.666666666666667,0.814557169059836,0,0,0
0.611111111111111,0.80844140015973,0,0,0
0.555555555555556,0.80244279841238,0,0,0
0.5,0.761960286275834,0,0,0
0.444444444444444,0.71142760136327,0,0,1
0.388888888888889,0.658760724787391,0,0,0.8
0.333333333333333,0.654221101018833,0,0,0.6
0.277777777777778,0.637471516985846,0,0,0.4
0.222222222222222,0.633756539784755,0,0,0.2
0.166666666666667,0.611937244089659,0.005,1,0
0.111111111111111,0.609983554096545,0.005,1,0
0.0555555555555556,0.559987468784587,0.005,1,0
